"Total_Weight";"Attribute"
0.5122368740148041;"PubchemFP12"
0.5520740011165264;"PubchemFP416"
0.5302351017959336;"SpAD_Dt"
0.7182314473849348;"ZMIC2"
0.6378664831575672;"SpMin1_Bhe"
0.5503897374017498;"SpMax2_Bhe"
0.5245052095946056;"HybRatio"
0.42533443187922654;"SpMax7_Bhp"
0.6247489118362315;"SpMax7_Bhv"
0.6634625056457062;"GGI4"
0.6659163800392599;"ATS1s"
0.5221792793254697;"FractionCSP3"
0.5104676732359462;"ATS4v"
0.45869854585035685;"SpMax4_Bhm"
0.5651542505533428;"SpMin2_Bhi"
0.5561430503084999;"Chi4v"
0.5769925499412712;"nT10Ring"
0.4381085972361917;"SPC-6"
0.4800235520746363;"maxHother"
0.5751555750814762;"nF10Ring"
0.42744312842525295;"apol"
0.5028765924283521;"ETA_BetaP_ns_d"
0.45016639365147265;"SpMax6_Bhp"
0.4263902876300979;"SPC-5"
0.4607857366478344;"EE_D"
0.4889793398353125;"McGowan_Volume"
0.44633541444586494;"ATS5m"
0.5287124128198184;"PubchemFP441"
0.5985141204088398;"GGI2"
0.6454705219360406;"SpMax6_Bhv"
0.41270083679747405;"Chi3n"
0.6203120138710487;"ETA_Eta_R"
0.6030378009279096;"VABC"
0.5085099558834654;"maxwHBa"
0.39394730767947317;"Chi4n"
0.5827827936229015;"SpMax8_Bhe"
0.5414455738032274;"PubchemFP524"
0.5340965102172504;"SpMax2_Bhi"
0.4032358421991923;"MIC1"
0.3835725280829946;"XLogP"
0.5211562490131388;"PubchemFP259"
0.5346934540743644;"PubchemFP434"
0.41156955805220197;"SpMax3_Bhv"
0.5597985970661186;"Chi1n"
0.43506429465770363;"SPC-4"
0.4325900973513431;"JGI8"
0.4511161321242973;"SCH-6"
0.6073734258558275;"Kier1"
0.5427647492874388;"VP-6"
0.5623332271221128;"VP-7"
0.3958962722720081;"SpMax3_Bhp"
0.5549900802891157;"SpMin2_Bhe"
0.5499287505037235;"avalon_fp913"
0.6329291168655148;"SpMin1_Bhp"
0.422814694580543;"ASP-1"
0.37543217651324906;"SpMin3_Bhi"
0.4970259352596638;"PubchemFP446"
0.42998768034153356;"AATS1v"
0.5522457174237565;"PubchemFP664"
0.5253545949791634;"avalon_fp37"
0.47730182963363127;"avalon_fp994"
0.4278430659053632;"GGI3"
0.4276266865304691;"LipoaffinityIndex"
0.4921727376051813;"avalon_fp564"
0.5441294100176307;"PubchemFP564"
0.4791378703706969;"avalon_fp26"
0.5391769340945071;"VPC-4"
0.562701040486314;"GATS8i"
0.4064625811891848;"SpMax5_Bhp"
0.38954359470591077;"ETA_dBetaP"
0.40194790647469614;"Chi2n"
0.49550439895404735;"PubchemFP660"
0.49550439895404735;"PubchemFP678"
0.4658690684244082;"avalon_fp693"
0.43727535431048464;"ASP-2"
0.5872620851089281;"SpMax5_Bhv"
0.4933373467652396;"avalon_fp864"
0.3822647700669418;"Mv"
0.5033338122070304;"SpMax3_Bhm"
0.5602199570638896;"SpMin1_Bhs"
0.36465074412337345;"MLFER_S"
0.3975037595354561;"SpMax7_Bhe"
0.5746688109028264;"sumI"
0.5894882192905119;"GATS8v"
0.4755503201002219;"ETA_Shape_Y"
0.582200891782234;"avalon_fp822"
0.45500268293765617;"avalon_fp473"
0.43542332714284404;"MLogP"
0.5542495973429151;"SpMax8_Bhi"
0.5599173999505505;"PubchemFP376"
0.34198651675813496;"ATSC0i"
0.34814928363857145;"SpMin3_Bhe"
0.5937434784019956;"SpMin1_Bhv"
0.4764805998651666;"PubchemFP640"
0.35464060923990465;"TIC1"
0.4521398140878182;"avalon_fp801"
0.5490211490923379;"PubchemFP449"
0.4828787361396696;"PubchemFP728"
0.5743516277384635;"GATS8p"
0.4194495881242873;"ASP-0"
0.6112970254153118;"maxHaaCH"
